,transcript,filename,unique_id,begin,end,extramarital affair,get divorced,illegitimate child,institutionalized for emotional problem,serious accident,murdered,attempt suicide,blackmailed,unfaithful spouse,abortion,score_max
0,And we still kick her in the teeth. ,5253646087419594905,1649_5253646087419594905,01:32:40:23,01:32:44:01,1.6366616691155536,1.5230715110201045,3.1666287302524867,1.1623151766584556,2.724132566481974,68.58543821898643,0.7367862523182526,0.8684153641756225,2.6157083896904827,11.1743533987987,68.58543821898643
3,"No!  No, it is the flat.  It has got to be the flat. He'll kill him if he finds out.  And me an' all probably.",5269245838135402929,1239_5269245838135402929,01:12:10:09,01:12:17:13,1.849942375077775,2.486099024612832,2.8267538713982625,1.0780366370054315,3.204675415810833,64.9573581347455,8.95710627785599,10.393471295845927,2.347540078672173,0.3968313370461771,64.9573581347455
4,Your brother's dead because of you. ,5269245838135402929,1115_5269245838135402929,01:05:45:16,01:05:50:00,-0.3627220831806999,-0.38342135167790425,-0.4213993715212912,1.039340945934829,4.400802251729444,64.33443974433771,-0.08557851264309284,0.5902421523496396,-0.465034999913971,-0.0314290768125492,64.33443974433771
6,"Just leave Penny out of this!  No, she was a casualty in all this. Who's next?  Oscar?  The girls? No.",5264050645694159353,1957_5264050645694159353,01:45:39:16,01:45:42:23,4.07426439360122,5.2389824280818456,2.7711034565158332,0.67693994614508,4.452994720035769,62.553621697633574,8.877517512653672,7.792043497513352,2.705154809758671,3.1046941981570026,62.553621697633574
7,But there was this raid.  I couldn't tip him off in time.  He got taken down in front  of his kid and he blamed me. We were at the station  when the news came in. Some of the lads went out and got  beer cos they were celebrating.,5248439298566680341,1992_5248439298566680341,01:41:04:11,01:41:23:03,-0.2800376922683095,-0.3105040413665636,3.2612510002665425,0.20679148613147325,0.5527423170133867,58.872028274272374,-0.08284014679377921,0.515901595713757,0.32150827391877546,-0.30330230555866156,58.872028274272374
8,"Cos that woman ain't coming  back any time soon. Yeah, well, I told you.  We'll manage.",5271844722846213628,841_5271844722846213628,00:44:20:01,00:44:22:21,2.673466838001656,6.545453530491215,-0.029029039245860602,1.27791701604837,1.6183307183947253,58.12873964234434,0.2944631297218597,0.7959020617405498,2.5452517363345475,7.666833702738861,58.12873964234434
9,"There's nothing you can do about it.  Well, apart from pray for him.  Yeah, yeah, he'd appreciate that.  Let me know if anything changes, OK?  All right.  Thanks.  So it looks like it could be  a murder case after all. Which makes the small favour  I'm asking even more important.",5269245838135402929,744_5269245838135402929,00:42:23:08,00:42:47:21,-0.550942806366645,-0.3345143855474523,-0.010489692892106063,-0.4030874291990638,-0.2905031677272507,57.23090473043746,-0.35075918324135963,0.13287916635503944,0.21515702211933618,-0.3667661488972109,57.23090473043746
12,Selena and Penny were at a bus stop.  One of Nelson's cronies  just drove right into them.,5248439298566680341,1994_5248439298566680341,01:41:25:07,01:41:36:05,-0.1822140539171697,-0.3471653428992912,-0.3644360073420314,-0.5073722196708028,4.525022828828355,50.326036684089985,-0.22612410818718123,-0.21811702947385045,0.7201710225653835,-0.3844287898072618,50.326036684089985
17,"Max and his son's wife.  He really hurt Tanya, didn't he? ",5266645664934403562,307_5266645664934403562,00:15:53:09,00:15:57:07,3.13555287987366,2.092648692533663,-0.25210792203785193,0.6789425552340234,4.3794530223019175,38.36687026790764,0.0981464220940908,0.5651619805219694,2.816724634892873,-0.031646506085007596,38.36687026790764
21,"I have, I ruined everything.  I never let you in.  We had something really good.  And I destroyed it.  And I... ",5258818087037440299,1652_5258818087037440299,01:23:34:15,01:23:49:08,0.949629733422928,4.8111376031842354,1.6028107188039573,2.5443962677404124,3.7824076923719625,35.08088524394447,2.1096852207129078,0.9639171758431165,1.4941131440292625,1.9410402802127862,35.08088524394447
25,Maybe Tanya should've run both of us  over...settled both scores at once.,5269245838135402929,1072_5269245838135402929,01:02:21:13,01:02:25:03,4.008914141674694,4.5226076543680245,0.02685740817686666,0.5666402226024724,2.2946068796719414,26.784739923470568,-0.14709366310549926,5.913634762557192,2.9566784758575078,1.1135608638271184,26.784739923470568
36,"No, you've gotta promise me  you won't say a word. Right, my lips are sealed. ",5258818087037440299,1171_5258818087037440299,00:58:50:06,00:58:54:19,2.602078170814038,7.697385516923863,6.5796182901659375,3.95893492382937,3.6549040905144348,20.71301875896767,10.278895929403703,11.88725071867081,1.7397389556872125,12.101422777786468,20.71301875896767
38,"Yeah, well, I ain't doing it  for Max. She tried to kill our brother, Jack.  It was an accident.  Are you sure this is the life you want?",5271844722846213628,840_5271844722846213628,00:44:12:04,00:44:20:00,1.2625879952419896,0.39813127446073127,0.7363155086329304,0.15793210240901426,4.293115153365145,20.331834012580572,13.35745820212346,1.1258983858900802,1.993938460369337,0.8696939226181344,20.331834012580572
40,"Abi's not feeling well,  I've got a splitting headache.",5245830105934359183,1618_5245830105934359183,01:27:50:22,01:27:53:08,-0.4019002788431699,-0.23727716624025846,-0.28821890693813484,1.6203772362123967,-0.27847902928568885,-0.20506846359657252,-0.3199407984220578,-0.37020608612098155,-0.3536466268582413,19.968236837521342,19.968236837521342
41,"It's over, Jack.  She's a lost cause.  Even you can't fix this one.  You watch me. ",5269245838135402929,724_5269245838135402929,00:40:49:17,00:40:57:17,2.0585751142157385,3.005107038458891,4.259041762029008,2.739576453920593,3.7241343709256083,19.01700405530901,1.8141112117215552,2.0027707601961757,1.9239707861952065,7.024461525578112,19.01700405530901
44,"That's my wife!  Tanya's made her choice, all right?  She's an adult.",5264050645694159353,1406_5264050645694159353,01:14:51:07,01:14:54:05,0.6017669443869997,8.870774426422026,-0.4655685977069724,-0.5397262953524431,-0.1955288865405692,0.009523740782021443,3.766959158214276,-0.29215168313751444,0.5026850596925966,18.305169299146286,18.305169299146286
48,Goodness knows what state her  baby's in. What makes you say that? Didn't you hear?,5271844722846213628,845_5271844722846213628,00:44:30:12,00:44:32:08,1.0649246425207222,0.004563218052065195,17.654948155884203,-0.1575284760935315,1.8629491846304023,2.364143905530214,0.5215500794873998,0.6591477823089955,0.5037580615031562,3.195778529544896,17.654948155884203
50,"It's just a shame they're  not yours then, isn't it?",5271844722846213628,995_5271844722846213628,00:51:25:18,00:51:28:06,1.4998315487221345,2.8552963866114203,17.28751704669296,0.37293030322567416,0.9299875053491431,0.16490063176806832,1.4776735451996792,0.13405850803108427,0.8178861150027791,1.480939891486071,17.28751704669296
51,But there ain't a single day that  goes by that I don't regret it.,5248439298566680341,2011_5248439298566680341,01:42:20:03,01:42:23:23,1.9668516952475854,3.3784977676983976,0.791528977969589,0.528524897816613,1.1495054498999244,3.6405437485907104,1.0168521109521826,-0.20718016436027917,0.6504972949794364,16.78495228796544,16.78495228796544
52,I can't even look at you. ,5248439298566680341,2025_5248439298566680341,01:43:14:15,01:43:18:15,1.854754273315412,2.5795014624248003,4.779836953169638,5.623569250778485,2.3601884715499297,16.722998867203348,1.6344809298591714,1.839972627106971,2.2917433394318087,2.098915566771012,16.722998867203348
53,"Close the door...  I know it was you, Jack.",5274434588125702436,1427_5274434588125702436,01:17:55:15,01:17:58:08,2.304652492873277,0.31198790919394626,-0.4250534630897713,1.1854197973256146,1.4839797532223797,16.620590278860067,2.8767570221959917,5.614105767999385,2.9970635546236393,0.7583969622137833,16.620590278860067
54,And her word goes?  Never mind  she tried to kill me. Weigh that up against  what you got up to in the past. It's not that clear cut.,5274434588125702436,176_5274434588125702436,00:09:30:01,00:09:34:07,0.7535424476553565,0.6531995833702824,-0.37174565379294267,0.028212871869587708,-0.24564948553604155,16.59476809337326,13.321735741868283,5.796617720752757,1.6718527760073139,1.451502780513166,16.59476809337326
56,"So it's not looking good then?  Only if you're prosecuting.  She sees her ex-husband  coming out of his house, jumps into a neighbour's car  and accelerates towards him. There's no question of intent -  she was trying to kill him.  Yeah.  According to this witness. Yes, and their testimony  changes everything, I'm afraid. Makes bail much less likely. ",5269245838135402929,714_5269245838135402929,00:39:40:06,00:40:03:00,0.6799574458624081,3.893027886630284,-0.3873921747969487,0.17345284303895825,1.2947393285948152,16.351353464629945,7.033879271683363,0.8184387255762627,0.8868347600025123,-0.27984412097017414,16.351353464629945
57,What's it gonna be tonight?  You  gonna put him through the window?,5245830105934359183,1629_5245830105934359183,01:28:17:23,01:28:19:17,0.23721448616464327,-0.041856286307377776,0.7959486250958197,-0.14951566766847407,2.5441659286781637,13.606327144796461,16.250443713089613,8.026332099859001,1.531537468901687,10.000772446336747,16.250443713089613
58,"No, Ronnie, I can't.  I have to go. ",5264050645694159353,1847_5264050645694159353,01:38:45:20,01:38:47:01,1.7801796634279046,6.144288399339362,7.626860576251572,4.2356793365580225,3.311717744717562,16.203238825616257,4.552413618032162,5.625624047019819,2.288056427799774,7.437678393895217,16.203238825616257
60,"No.  Then why d'you do it? Cos that's what I saw. No, cos it's Tanya.  That's what you mean.",5269245838135402929,1096_5269245838135402929,01:03:49:05,01:03:53:19,3.554520012398344,0.47452685426065994,3.313251910155158,0.5324799280022873,1.5571044117157522,15.92526132547232,4.807071518134869,1.2588453337195586,2.7121471690524133,0.29863991702477105,15.92526132547232
61,Give it a little knock and  it tries to do away with you.,5274434588125702436,133_5274434588125702436,00:07:07:22,00:07:09:13,0.004073464733198172,0.701941424300089,-0.13882872839407812,0.3200848443405999,3.3201792397908876,2.8657583853015063,15.910346021651717,9.317357866464034,0.01581951942897811,1.4694765010079847,15.910346021651717
63,"She's just upset  about that Bernadette kid, you know. Give her time, yeah.",5248439298566680341,1107_5248439298566680341,00:57:14:15,00:57:21:21,-0.2514584602859504,-0.30328359279997735,15.451651558315948,-0.3278946327656489,-0.21345055170921606,-0.12442633364658312,-0.33738170057625777,-0.3749631980531183,-0.03295394989434339,-0.36287252879197496,15.451651558315948
71,It was my dad's idea   ^ to get Am^y adopted.,5258818087037440299,1640_5258818087037440299,01:22:35:06,01:22:37:10,-0.4912493568212223,-0.39398656826812,14.83352667368911,-0.20503615486154203,-0.28684904861226923,-0.2892494935609703,-0.3747719681875884,0.04044911967643839,-0.4436825125127631,-0.3781133799048895,14.83352667368911
82,"I found him in the Square,  doubled up he was.",5245830105934359183,750_5245830105934359183,00:41:46:05,00:41:49:09,2.495601254483492,0.1596564446396309,0.24049345287730325,0.16134388711347247,2.257772878728007,13.59184155505043,5.782694547572552,1.5892888383329382,2.3610928011399355,0.07249858174613064,13.59184155505043
87,"Getting this...  Tan, if you want to petition  for a divorce, then... ..then OK.  OK?  Yeah. What, just like that?  You've come  over here to say it's OK?  That's it?",5245830105934359183,201_5245830105934359183,00:11:45:23,00:12:06:24,0.3177681397751961,12.9698424449202,0.03957748419309985,0.9262067244439628,-0.04694067938705887,-0.0988097040950197,-0.3778112559270705,1.2992783593776338,0.5041650065786036,-0.3907984989970297,12.9698424449202
90,"We'd just like to clarify  a few things on your statement. Well, breakfast would be nice.  Are you sure you  don't want a solicitor? As ex-Old Bill, you know the  seriousness of these allegations - possession of a firearm,  attempted murder.  Look, he made it all up.  To stop you from running off with  his wife? They're getting divorced. It's his fault not mine.",5264050645694159353,588_5264050645694159353,00:29:12:17,00:29:31:22,4.5197036457309405,12.720014287795223,-0.2444403398488119,0.5473792697104053,-0.2627136363076232,3.2806345423603758,-0.3675383901803802,4.963801065664259,3.0410673803777275,-0.33330628313062477,12.720014287795223
95,"Tan.  Stop.  Please!  I've made up my mind.  But the police don't know anything!  Why tell them now? Because it's the right thing to do.  No.  No!  I'm not letting you ruin  everything!  Not now. Look, I've made up my mind, right.  You've got no choice.  Don't matter what you say. I'm doing it.  So you'd better let me go. ",5269245838135402929,409_5269245838135402929,00:20:06:22,00:20:35:21,2.470391439745676,4.151457781493017,8.090083143303726,4.042607545433788,3.5010188188922777,12.568057749027403,10.846961878766912,8.89131216082804,1.8036070768837211,12.014575684983168,12.568057749027403
97,"No, it's Max's.  He brought this all upon himself.",5269245838135402929,1068_5269245838135402929,01:02:12:17,01:02:14:21,2.4557711985020068,3.5239364187586766,11.716969986040718,4.402904394923151,4.346808550755805,12.222195414002854,6.899889191986376,5.033713854627839,1.8651672765506235,1.9233071381766476,12.222195414002854
102,"I'm sorry, I didn't mean to do it.  Come on, it's not your fault, is it?  You were a kid.  You had no choice.",5258818087037440299,1648_5258818087037440299,01:23:15:11,01:23:18:05,-0.0802684640767613,-0.11798524699964451,11.991322621436218,-0.27186858270077546,0.8174948872228192,0.43872225848297647,1.4890358206528855,-0.29725390680254854,-0.13435974387497857,1.26430519140716,11.991322621436218
