index,begin,end,filename,shot_id,transcript,Death of a spouse,Divorce,Marital separation,Imprisonment,Death of a close family member,Personal injury or illness,Marriage,Dismissal from work,Marital reconciliation,Retirement,Change in health of family member,Pregnancy,death relative
3550,01:12:33:13,01:12:36:01,5248439298566680341.xml,1470,I can't keep her.,99.8991251,57.1670621,62.02266484,38.68111897,61.67461377,51.64803565,35.71045697,39.36395562,5.424483418,23.10866028,43.70570445,24.74659681,99.92238283
10278,01:31:43:20,01:31:46:06,5256228221757951173.xml,1567,"Jay, listen mate, you can't  come and live with me today.",99.87029433,58.385777,63.84271502,32.64960283,59.44930083,46.48491269,43.33329499,26.3644194,24.6478191,26.93848997,43.04939246,1.889183968,99.89329576
8046,01:22:09:06,01:22:12:10,5253646087419594905.xml,1437,I've left him.,99.82457161,71.19686621,63.69793624,13.76283972,61.61996216,48.65354735,15.105699,45.50791699,17.80893311,32.39131898,43.48065615,0.1120837219,99.89162683
17214,01:36:46:24,01:36:50:19,5266645664934403562.xml,1783,"Actually Jean, they  won't be joining us.",99.78269935,51.24537069,57.73068219,28.97195524,55.75920886,44.95092726,30.40828705,41.14146954,26.25905424,34.52440739,41.8003037,3.325403035,99.88995194
22692,01:27:57:11,01:27:59:22,5274434588125702436.xml,1599,"Well, lucky for you,  Bianca left early with Morgan.",99.72840548,47.08957601,63.40192407,6.956808038,44.23470193,45.91577578,38.55313361,45.58293337,25.37387699,6.75309889,43.6194706,35.98551273,99.85129237
23080,01:51:59:10,01:52:05:24,5274434588125702436.xml,1987,Nobody wants me.  Nobody cares about me.,99.7274816,56.53737396,53.99926841,37.99745554,49.75205952,49.88163286,34.04838443,36.16956276,23.44045758,36.43000424,40.30469012,17.50569582,99.84764457
11802,00:58:50:06,00:58:54:19,5258818087037440299.xml,1171,"No, you've gotta promise me  you won't say a word. Right, my lips are sealed. ",99.70930815,45.43897575,46.7637074,40.83068043,55.24479872,47.40989405,39.92460668,20.91076812,32.62545437,28.17398787,40.13935328,23.0100584,99.84541535
14696,01:38:45:20,01:38:47:01,5264050645694159353.xml,1847,"No, Ronnie, I can't.  I have to go. ",99.70354438,51.62116116,57.71038085,27.64186388,55.22651142,49.94281411,29.50201333,41.72597146,20.66859305,26.89004928,40.28283596,13.71537447,99.82891679
3931,01:32:56:06,01:33:00:17,5248439298566680341.xml,1851,"I'm sorry, Mrs Branning  checked out an hour ago. Right. ",99.67839122,56.36435091,63.6369586,9.092265844,60.06934172,51.58608991,19.72492635,46.74149913,11.76927701,27.80253679,43.77711535,0.4261988774,99.81853366
5318,00:51:39:02,00:51:42:02,5251033029316736209.xml,1002,"Sorry, babe.  It's time to take him home.",99.65218306,31.16944563,56.63214713,5.258497931,61.20247096,50.66706336,46.68078423,18.93776703,39.85982537,32.12907135,43.73099685,3.824436069,99.81606007
3547,01:12:25:08,01:12:28:15,5248439298566680341.xml,1467,D'you wanna say goodbye?  Just take her.,99.63554144,62.49564105,59.1734761,5.85600733,62.65127581,50.70092201,28.0880183,30.48072821,11.18040539,30.22186249,43.72858667,1.299467236,99.80739355
7401,00:44:22:23,00:44:25:03,5253646087419594905.xml,792,"No, leave it.  She'll  come round in her own time.",99.53249693,54.11951995,44.72818017,7.058077723,58.71246529,52.3090629,35.8423382,12.11872828,36.1752829,28.62127841,43.27435684,18.51729393,99.74507689
22431,01:12:49:23,01:12:53:20,5274434588125702436.xml,1338,"Chelsea, I'm sorry, but I can't... ",99.50498939,38.21122903,57.55106568,23.68032941,61.46823764,51.285712,13.51056546,40.10193324,7.820182219,26.99617356,41.64084411,11.24210119,99.74326491
17149,01:33:29:05,01:33:30:10,5266645664934403562.xml,1718,"Look, I'm sorry Mo can't make it. ",99.45803285,22.43583712,60.035671,9.863820031,61.45881987,51.79567999,42.41903424,37.6711846,27.01842517,14.24054101,43.52388716,3.185176551,99.73007441
4833,00:26:16:15,00:26:19:17,5251033029316736209.xml,517,No.  You don't love me any more.,99.40552115,54.30710626,62.11949915,16.60592455,60.75118768,47.05691171,37.89197803,16.90172842,8.578812853,20.06803572,41.1802702,4.556764364,99.67568517
19871,00:44:20:01,00:44:22:21,5271844722846213628.xml,841,"Cos that woman ain't coming  back any time soon. Yeah, well, I told you.  We'll manage.",99.39285517,60.23096454,59.59652662,15.4509463,62.83508384,48.33733946,11.3276571,43.54365772,0.3695579851,24.67937529,42.57199192,0.2822129615,99.65291619
19642,00:32:08:16,00:32:11:14,5271844722846213628.xml,612,"And who can blame her, hm?  You lost, Sean. ",99.38319921,57.00873286,53.64031821,15.97514409,61.13664794,50.53417176,27.47140527,39.74164844,3.20093248,15.08134246,41.14130092,5.298847556,99.61907864
11042,00:19:32:22,00:19:39:02,5258818087037440299.xml,411,"No.  See, um, Honey - my wife -  she, er, she left me  a few weeks back.",99.37724471,70.85935706,64.56450135,5.396535605,62.89525545,52.31987947,43.31082106,19.18660581,0.07562799496,4.366665781,43.73763728,0.008733961149,99.6132195
13107,00:11:57:12,00:12:03:13,5264050645694159353.xml,258,"No, you're not.  Not any more. ",99.3601501,46.04255706,48.82792771,33.33106953,48.55194694,48.64384592,32.42067099,35.69415927,23.01085621,31.66112512,41.33780217,17.85253882,99.58539009
1855,01:41:53:23,01:41:55:22,5245830105934359183.xml,1856,"He don't want any of us.  He's left me, Whit.",99.35829043,63.48694801,55.05706519,24.23312786,62.0002892,35.71981841,25.86871982,31.45139164,1.103742756,21.21080294,42.24667621,3.340090513,99.57962632
6882,00:16:18:02,00:16:20:05,5253646087419594905.xml,273,"Sorry, mate, you've lost me. ",99.34940934,41.76691025,56.91493243,22.82919824,57.29946524,50.05414838,28.66755724,42.40504086,4.362369552,23.43804896,39.47880578,3.488797843,99.54665303
12627,01:45:34:14,01:45:36:13,5258818087037440299.xml,1996,No.  I don't think so.,99.33629036,45.86493486,45.26480585,30.05584207,50.87570715,48.81301284,36.29873693,30.31684244,21.98790729,26.33584589,40.34138823,21.28357649,99.5333612
17496,01:51:50:01,01:51:52:05,5266645664934403562.xml,2065,No.  You're sure about that? Mum?  I need to speak to you.,99.32464361,37.55177474,42.0098111,25.37475112,61.3815701,48.80546904,35.72252989,20.61154723,22.40827918,25.64240903,43.09211206,23.10857058,99.50484037
18980,01:24:05:04,01:24:11:04,5269245838135402929.xml,1444,"No, Aunty Peg, I can't!  Ahhh! ",99.24097657,42.67923099,51.47021323,26.3624137,62.80820113,52.23613,14.09427077,40.84540164,15.72113514,23.15695345,43.56406808,11.44116759,99.48856831
14507,01:29:59:21,01:30:01:11,5264050645694159353.xml,1658,"Let her go, for God's sake! ",99.19368029,59.5810349,55.25163651,14.12949541,56.59131861,49.49347138,24.74125326,40.23184901,2.395137884,13.24795201,43.4248445,15.08363724,99.48132634
17838,00:14:53:15,00:14:56:05,5269245838135402929.xml,302,"Don't worry, Phil.  I'll take good care of her.",99.12141562,25.07631716,43.12265009,6.150615938,59.86027318,50.87461585,43.88503134,3.716446266,39.56106752,30.32579809,43.81072402,19.70852137,99.46560264
20109,00:56:41:20,00:56:43:17,5271844722846213628.xml,1079,"Well, now that Sean is  out of the picture...",99.08548594,55.39664453,52.93961972,7.204594865,60.33518726,44.03109199,16.41922295,41.8672778,8.949394226,25.30387133,42.66848803,0.3798049688,99.44009781
14806,01:45:39:16,01:45:42:23,5264050645694159353.xml,1957,"Just leave Penny out of this!  No, she was a casualty in all this. Who's next?  Oscar?  The girls? No.",99.0665257,58.78431088,49.68400121,28.34122735,62.84213966,52.29243368,10.68160385,42.92652208,2.931190431,4.008608311,43.76417017,2.914212644,99.43550825
11961,01:06:25:23,01:06:29:14,5258818087037440299.xml,1330,I can't believe I'm hearing this.  She got everything she deserved.,99.03718829,48.09764791,37.47969449,19.00229511,60.2471416,50.48713988,29.13309634,34.08747584,16.66943148,19.48074594,41.69233894,5.412493944,99.43534136
20178,00:59:45:22,00:59:46:22,5271844722846213628.xml,1148,"I can't, not today, I'm too  tied up.  It ain't gonna happen.",99.03140068,41.39269489,48.22313756,55.7354992,52.44381881,51.66353393,30.6119889,40.24250561,20.89894786,14.07834649,35.94961166,4.314331114,99.41912293
11661,00:51:59:14,00:52:05:19,5258818087037440299.xml,1030,"""Jack's taken my wife and kids  so it's time to start paying attention to Bradley?""",99.0257144,60.52130735,62.86913395,22.11618313,62.75359458,52.13706547,42.57742167,0.2047718377,6.462293789,1.781397834,43.85115671,0.6417013705,99.40235019
9280,00:33:49:23,00:33:55:07,5256228221757951173.xml,569,"Give up the ghost  after all these years. Oh, right.  Well... ",99.02458191,38.88950634,57.33660758,11.91359554,60.54781187,49.97265762,22.89907187,44.27580839,0.2945174044,35.26268274,43.16209364,0.02136051655,99.39714074
